coil,mu_R,sig_R,mu_I,sig_I
0.000000e+00,1.117941e-02,3.308778e-02,-4.789908e-03,3.383734e-02
1.000000e+00,6.700733e-03,2.184959e-02,-4.185593e-03,2.388063e-02
2.000000e+00,1.110367e-02,4.581136e-02,-2.161279e-02,6.786609e-02
3.000000e+00,1.483071e-02,3.841053e-02,-7.947463e-03,3.772500e-02
4.000000e+00,8.877740e-03,2.895194e-02,-1.016906e-02,3.806191e-02
5.000000e+00,6.904251e-03,2.709631e-02,-1.076238e-02,3.765056e-02
6.000000e+00,1.115308e-02,3.671649e-02,-7.900410e-03,4.313357e-02
7.000000e+00,7.961446e-03,2.643412e-02,-2.724002e-03,2.728675e-02
8.000000e+00,1.027792e-02,2.872670e-02,-8.365968e-03,3.424742e-02
9.000000e+00,1.203228e-02,3.086803e-02,-2.825372e-03,2.802123e-02
1.000000e+01,1.022138e-02,3.233910e-02,-2.765834e-03,3.320050e-02
1.100000e+01,7.591072e-03,2.496684e-02,-5.153293e-03,2.771349e-02
1.200000e+01,7.234827e-03,2.888283e-02,-9.384927e-03,3.605766e-02
1.300000e+01,7.583053e-03,3.289536e-02,-1.237128e-02,4.750180e-02
1.400000e+01,9.205431e-03,2.847629e-02,-8.593493e-03,3.675213e-02
1.500000e+01,9.955881e-03,2.971440e-02,-4.727080e-03,3.186558e-02
1.600000e+01,1.008346e-02,5.952199e-02,-2.915682e-02,8.781715e-02
1.700000e+01,5.987108e-03,2.693601e-02,-7.532037e-03,3.182812e-02
1.800000e+01,1.378592e-02,3.554964e-02,-3.778674e-03,3.256748e-02
1.900000e+01,1.416978e-02,3.799436e-02,-9.413141e-03,4.197352e-02
2.000000e+01,9.773036e-03,2.716331e-02,2.274831e-03,3.114192e-02
2.100000e+01,7.601550e-03,2.183511e-02,2.326789e-03,2.604887e-02
2.200000e+01,1.207493e-02,3.291763e-02,3.432602e-03,3.806384e-02
2.300000e+01,6.973500e-03,1.945539e-02,1.867659e-03,2.296202e-02
2.400000e+01,8.782981e-03,2.419692e-02,1.056748e-03,2.553049e-02
2.500000e+01,1.126113e-02,2.956797e-02,-7.317707e-05,2.837380e-02
2.600000e+01,9.732691e-03,2.847769e-02,-1.151688e-03,2.938746e-02
2.700000e+01,7.976787e-03,2.163163e-02,-1.297261e-03,2.151430e-02
2.800000e+01,8.154266e-03,2.794707e-02,-2.969432e-03,2.965749e-02
2.900000e+01,6.004883e-03,1.807298e-02,-2.534250e-04,1.880101e-02
3.000000e+01,1.700605e-02,4.408928e-02,-5.346581e-04,4.373102e-02
3.100000e+01,9.749439e-03,2.701166e-02,1.258657e-03,2.891234e-02
