coil,sigma_real,sigma_imag
0.000000e+00,3.650460e-02,3.649921e-02
1.000000e+00,2.486193e-02,2.487803e-02
2.000000e+00,3.809323e-02,3.810586e-02
3.000000e+00,2.959702e-02,2.966206e-02
4.000000e+00,2.796139e-02,2.796030e-02
5.000000e+00,2.660923e-02,2.659988e-02
6.000000e+00,4.239229e-02,4.236384e-02
7.000000e+00,3.214642e-02,3.214838e-02
8.000000e+00,2.626970e-02,2.626366e-02
9.000000e+00,2.650278e-02,2.648332e-02
1.000000e+01,3.636002e-02,3.635998e-02
1.100000e+01,2.865092e-02,2.866637e-02
1.200000e+01,3.148892e-02,3.149745e-02
1.300000e+01,3.463285e-02,3.462565e-02
1.400000e+01,2.863829e-02,2.865499e-02
1.500000e+01,3.291927e-02,3.287945e-02
1.600000e+01,4.844674e-02,4.844140e-02
1.700000e+01,2.977071e-02,2.976626e-02
1.800000e+01,3.104115e-02,3.104729e-02
1.900000e+01,3.099154e-02,3.096053e-02
2.000000e+01,2.893190e-02,2.892775e-02
2.100000e+01,2.344662e-02,2.342881e-02
2.200000e+01,3.423639e-02,3.424201e-02
2.300000e+01,1.998265e-02,2.000061e-02
2.400000e+01,2.458761e-02,2.459291e-02
2.500000e+01,2.756281e-02,2.754172e-02
2.600000e+01,3.256620e-02,3.254741e-02
2.700000e+01,2.248751e-02,2.249495e-02
2.800000e+01,3.526916e-02,3.527148e-02
2.900000e+01,2.137112e-02,2.134415e-02
3.000000e+01,3.985268e-02,3.984911e-02
3.100000e+01,2.835276e-02,2.835445e-02
