coil,mu_real,std_real,mu_imag,std_imag
0,4.804883e-09,1.541384e-08,5.681612e-10,1.569960e-08
1,3.085162e-09,1.099007e-08,4.252078e-10,1.118138e-08
2,4.436174e-09,1.816515e-08,-1.016165e-09,1.781317e-08
3,3.949915e-09,1.344435e-08,-3.491052e-10,1.454955e-08
4,3.169233e-09,1.327224e-08,-7.478831e-10,1.348954e-08
5,3.000831e-09,1.294742e-08,-8.780935e-10,1.309492e-08
6,5.818216e-09,1.816578e-08,5.711405e-10,1.788935e-08
7,4.490670e-09,1.372151e-08,1.385170e-09,1.371457e-08
8,3.362750e-09,1.231683e-08,-4.760772e-10,1.277131e-08
9,3.434299e-09,1.165710e-08,5.304468e-10,1.233884e-08
10,5.028111e-09,1.569978e-08,1.101327e-09,1.591620e-08
11,3.816712e-09,1.269638e-08,4.111348e-10,1.297764e-08
12,3.858203e-09,1.444916e-08,-4.442589e-10,1.475907e-08
13,4.294115e-09,1.597238e-08,-3.550023e-10,1.565824e-08
14,3.650351e-09,1.311754e-08,-2.683385e-10,1.335812e-08
15,4.392592e-09,1.414475e-08,5.009573e-10,1.434523e-08
16,5.889668e-09,2.191268e-08,7.713808e-11,2.096937e-08
17,3.556929e-09,1.374153e-08,4.031575e-13,1.375728e-08
18,4.020954e-09,1.323274e-08,3.107318e-10,1.408153e-08
19,4.055466e-09,1.388345e-08,-3.697198e-10,1.479228e-08
20,3.858207e-09,1.276981e-08,1.485476e-09,1.200266e-08
21,3.108927e-09,1.088974e-08,1.746853e-09,9.946581e-09
22,4.493024e-09,1.476469e-08,1.346491e-09,1.394718e-08
23,2.446982e-09,9.578066e-09,1.544217e-09,8.801390e-09
24,3.097920e-09,1.083714e-08,1.517184e-09,1.036499e-08
25,3.516351e-09,1.201790e-08,1.181370e-09,1.213578e-08
26,4.343037e-09,1.370201e-08,1.159609e-09,1.357023e-08
27,2.775587e-09,9.853744e-09,1.165458e-09,9.861838e-09
28,4.955862e-09,1.488004e-08,1.168879e-09,1.462762e-08
29,2.662045e-09,9.307071e-09,1.587049e-09,9.001094e-09
30,5.194221e-09,1.701971e-08,5.587227e-10,1.740154e-08
31,3.734601e-09,1.228132e-08,1.545403e-09,1.186214e-08
